NAME	TITLE	SCORE	
GPR26	G protein-coupled receptor 26 [Source:HGNC Symbol;Acc:HGNC:4481]	0.5267138	
HOXC4	homeobox C4 [Source:HGNC Symbol;Acc:HGNC:5126]	0.5266057	
GOLGA6B	golgin A6 family member B [Source:HGNC Symbol;Acc:HGNC:32205]	0.5264326	
THOC6	THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]	0.5248017	
PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	0.52383465	
TLX3	T cell leukemia homeobox 3 [Source:HGNC Symbol;Acc:HGNC:13532]	0.5225871	
H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	0.5209294	
KRTAP4-4	keratin associated protein 4-4 [Source:HGNC Symbol;Acc:HGNC:16928]	0.5196568	
CCL27	C-C motif chemokine ligand 27 [Source:HGNC Symbol;Acc:HGNC:10626]	0.5179119	
KRT31	keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]	0.5176607	
GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	0.5145517	
HOXC12	homeobox C12 [Source:HGNC Symbol;Acc:HGNC:5124]	0.51410943	
SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]	0.51384664	
ZSCAN5C	zinc finger and SCAN domain containing 5C [Source:HGNC Symbol;Acc:HGNC:34294]	0.51276976	
FZD10	frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]	0.51273584	
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	0.5127315	
TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	0.51018226	
SELENOV	selenoprotein V [Source:HGNC Symbol;Acc:HGNC:30399]	0.5099928	
NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	0.50904363	
RGL2	ral guanine nucleotide dissociation stimulator like 2 [Source:HGNC Symbol;Acc:HGNC:9769]	0.50893265	
HMX3	H6 family homeobox 3 [Source:HGNC Symbol;Acc:HGNC:5019]	0.50734776	
TGM6	transglutaminase 6 [Source:HGNC Symbol;Acc:HGNC:16255]	0.50662184	
KCNC3	potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]	0.5064331	
IRX4	iroquois homeobox 4 [Source:HGNC Symbol;Acc:HGNC:6129]	0.50465834	
CLEC3A	C-type lectin domain family 3 member A [Source:HGNC Symbol;Acc:HGNC:2052]	0.50437397	
SFTPC	surfactant protein C [Source:HGNC Symbol;Acc:HGNC:10802]	0.5036614	
LACRT	lacritin [Source:HGNC Symbol;Acc:HGNC:16430]	0.50265074	
FEV	FEV transcription factor, ETS family member [Source:HGNC Symbol;Acc:HGNC:18562]	0.50158423	
ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	0.5014772	
REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	0.5014565	
USP17L8	ubiquitin specific peptidase 17 like family member 8 [Source:HGNC Symbol;Acc:HGNC:37181]	0.5011053	
UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	0.5002861	
ZSCAN1	zinc finger and SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23712]	0.5000877	
OR8H3	olfactory receptor family 8 subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:15309]	0.4998292	
KRTAP2-4	keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891]	0.49781346	
MESP1	mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658]	0.4969395	
DLX5	distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]	0.49559787	
ANKRD30BL	ankyrin repeat domain 30B like [Source:HGNC Symbol;Acc:HGNC:35167]	0.49554142	
OR13C9	olfactory receptor family 13 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:15104]	0.4949006	
MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	0.4946745	
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	0.4925343	
PROK1	prokineticin 1 [Source:HGNC Symbol;Acc:HGNC:18454]	0.49225459	
MUC7	mucin 7, secreted [Source:HGNC Symbol;Acc:HGNC:7518]	0.49035785	
ZNF66	zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]	0.49006194	
INSYN1	inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753]	0.4882909	
PLK5	polo like kinase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:27001]	0.48800942	
MYOZ1	myozenin 1 [Source:HGNC Symbol;Acc:HGNC:13752]	0.4879083	
ISX	intestine specific homeobox [Source:HGNC Symbol;Acc:HGNC:28084]	0.4877562	
ZFP42	ZFP42 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:30949]	0.48749268	
UNCX	UNC homeobox [Source:HGNC Symbol;Acc:HGNC:33194]	0.48285866	
C5orf38	chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:24226]	0.48257846	
OR2V1	olfactory receptor family 2 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:8280]	0.481813	
LDLRAD1	low density lipoprotein receptor class A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32069]	0.48146024	
SLC35F4	solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	0.48104835	
ZNF454	zinc finger protein 454 [Source:HGNC Symbol;Acc:HGNC:21200]	0.48079038	
OR5K3	olfactory receptor family 5 subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:31290]	0.4804363	
OR4C5	olfactory receptor family 4 subfamily C member 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14702]	0.47996846	
PRRG2	proline rich and Gla domain 2 [Source:HGNC Symbol;Acc:HGNC:9470]	0.47974253	
GOLGA7B	golgin A7 family member B [Source:HGNC Symbol;Acc:HGNC:31668]	0.47972295	
C8orf58	chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:32233]	0.47958013	
ABHD8	abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]	0.4785462	
FAM205C	family with sequence similarity 205 member C [Source:HGNC Symbol;Acc:HGNC:42673]	0.47715726	
DUOX2	dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]	0.47646767	
GLT6D1	glycosyltransferase 6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23671]	0.47227374	
CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:34423]	0.47141153	
ZNF446	zinc finger protein 446 [Source:HGNC Symbol;Acc:HGNC:21036]	0.47106847	
JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	0.4699479	
PSMB6	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]	0.46915895	
TFAP2D	transcription factor AP-2 delta [Source:HGNC Symbol;Acc:HGNC:15581]	0.46808562	
RBFOX1	RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]	0.4672616	
SCGB1D4	secretoglobin family 1D member 4 [Source:HGNC Symbol;Acc:HGNC:31748]	0.46702483	
RTP1	receptor transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580]	0.46690375	
PSG2	pregnancy specific beta-1-glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:9519]	0.46575734	
SORCS3	sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699]	0.4654085	
CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	0.465342	
FOXRED1	FAD dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	0.46510705	
CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	0.46453586	
XKR4	XK related 4 [Source:HGNC Symbol;Acc:HGNC:29394]	0.46408862	
HCAR2	hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]	0.4639609	
ZNF607	zinc finger protein 607 [Source:HGNC Symbol;Acc:HGNC:28192]	0.4639525	
AMER3	APC membrane recruitment protein 3 [Source:HGNC Symbol;Acc:HGNC:26771]	0.4621838	
SPATA31E1	SPATA31 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:26672]	0.4620931	
BPIFB1	BPI fold containing family B member 1 [Source:HGNC Symbol;Acc:HGNC:16108]	0.46117982	
FGF3	fibroblast growth factor 3 [Source:HGNC Symbol;Acc:HGNC:3681]	0.46012536	
OR51E2	olfactory receptor family 51 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:15195]	0.45976147	
WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	0.45972452	
HPCAL4	hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]	0.45952263	
BSND	barttin CLCNK type accessory subunit beta [Source:HGNC Symbol;Acc:HGNC:16512]	0.45913127	
OR7G2	olfactory receptor family 7 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8466]	0.45855308	
PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	0.45843956	
PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]	0.4580889	
SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	0.45697194	
OR2G3	olfactory receptor family 2 subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:15008]	0.45697027	
EPHX3	epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]	0.4565088	
PRDM13	PR/SET domain 13 [Source:HGNC Symbol;Acc:HGNC:13998]	0.4558233	
ULBP2	UL16 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14894]	0.45543736	
IQCA1L	IQ motif containing with AAA domain 1 like [Source:HGNC Symbol;Acc:HGNC:22831]	0.45445636	
TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	0.45354998	
ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	0.45328674	
SNTN	sentan, cilia apical structure protein [Source:HGNC Symbol;Acc:HGNC:33706]	0.45327306	
MYBPH	myosin binding protein H [Source:HGNC Symbol;Acc:HGNC:7552]	0.4527707	
ZNF134	zinc finger protein 134 [Source:HGNC Symbol;Acc:HGNC:12918]	0.4518877	
FAM53C	family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]	0.45180616	
RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	0.45067686	
RESP18	regulated endocrine specific protein 18 [Source:HGNC Symbol;Acc:HGNC:33762]	0.45037773	
FXYD4	FXYD domain containing ion transport regulator 4 [Source:HGNC Symbol;Acc:HGNC:4028]	0.44944483	
CYP4F8	cytochrome P450 family 4 subfamily F member 8 [Source:HGNC Symbol;Acc:HGNC:2648]	0.44921142	
IQCF2	IQ motif containing F2 [Source:HGNC Symbol;Acc:HGNC:31815]	0.44852898	
TBXT	T-box transcription factor T [Source:HGNC Symbol;Acc:HGNC:11515]	0.4476358	
CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	0.447496	
PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	0.44725284	
CEACAM20	CEA cell adhesion molecule 20 [Source:HGNC Symbol;Acc:HGNC:24879]	0.44721037	
C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	0.4471122	
OR56A5	olfactory receptor family 56 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:14792]	0.4469728	
TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	0.4467371	
ZSCAN5B	zinc finger and SCAN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:34246]	0.446575	
MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	0.44655648	
HRK	harakiri, BCL2 interacting protein [Source:HGNC Symbol;Acc:HGNC:5185]	0.4465499	
KRTAP3-1	keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]	0.44648904	
TM6SF2	transmembrane 6 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11861]	0.4464859	
ZNF471	zinc finger protein 471 [Source:HGNC Symbol;Acc:HGNC:23226]	0.4461277	
C1QL1	complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]	0.44595492	
TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	0.44570398	
KPRP	keratinocyte proline rich protein [Source:HGNC Symbol;Acc:HGNC:31823]	0.4451646	
VSTM2A	V-set and transmembrane domain containing 2A [Source:HGNC Symbol;Acc:HGNC:28499]	0.44485837	
PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	0.44466844	
NXT1	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]	0.44410655	
FOXL2NB	FOXL2 neighbor [Source:HGNC Symbol;Acc:HGNC:34428]	0.44398537	
BARX1	BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]	0.4437673	
DNALI1	dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]	0.44359165	
OTOP2	otopetrin 2 [Source:HGNC Symbol;Acc:HGNC:19657]	0.44358793	
TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	0.44329715	
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	0.4430777	
CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	0.44225574	
DEFB118	defensin beta 118 [Source:HGNC Symbol;Acc:HGNC:16196]	0.44192514	
IL36G	interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]	0.4415784	
RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	0.44091347	
MRM1	mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]	0.44076744	
KNCN	kinocilin [Source:HGNC Symbol;Acc:HGNC:26488]	0.44075042	
FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	0.4405055	
PROP1	PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]	0.44031176	
GAB4	GRB2 associated binding protein family member 4 [Source:HGNC Symbol;Acc:HGNC:18325]	0.44002753	
TAAR6	trace amine associated receptor 6 [Source:HGNC Symbol;Acc:HGNC:20978]	0.43949875	
C12orf42	chromosome 12 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:24729]	0.43926838	
CCDC163	coiled-coil domain containing 163 [Source:HGNC Symbol;Acc:HGNC:27003]	0.43894774	
LCE3B	late cornified envelope 3B [Source:HGNC Symbol;Acc:HGNC:29462]	0.43839434	
OR5T1	olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821]	0.43775743	
CLEC4G	C-type lectin domain family 4 member G [Source:HGNC Symbol;Acc:HGNC:24591]	0.4371683	
CALB2	calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]	0.43698707	
PRR23D1	proline rich 23 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:49420]	0.4368024	
CLEC19A	C-type lectin domain containing 19A [Source:HGNC Symbol;Acc:HGNC:34522]	0.43611115	
RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	0.43575928	
SIX2	SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]	0.435746	
PNPLA5	patatin like phospholipase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:24888]	0.4356614	
HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	0.43528116	
ZNF287	zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502]	0.43521434	
KRT32	keratin 32 [Source:HGNC Symbol;Acc:HGNC:6449]	0.4340314	
GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	0.4333343	
B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]	0.43301392	
WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	0.4330111	
SLC26A1	solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]	0.4327796	
NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	0.43220964	
COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	0.4321407	
UGT2B28	UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]	0.4320949	
HAPLN4	hyaluronan and proteoglycan link protein 4 [Source:HGNC Symbol;Acc:HGNC:31357]	0.43100506	
C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	0.4293261	
CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	0.4287562	
DPP6	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	0.42850667	
SHISA6	shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491]	0.42755234	
KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	0.42753097	
ZNF599	zinc finger protein 599 [Source:HGNC Symbol;Acc:HGNC:26408]	0.4273662	
OR4K2	olfactory receptor family 4 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14728]	0.4272458	
SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	0.42708823	
OR4C11	olfactory receptor family 4 subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:15167]	0.42694527	
ZNF729	zinc finger protein 729 [Source:HGNC Symbol;Acc:HGNC:32464]	0.4268402	
GRM6	glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]	0.4262351	
RNF186	ring finger protein 186 [Source:HGNC Symbol;Acc:HGNC:25978]	0.42538533	
LYZL4	lysozyme like 4 [Source:HGNC Symbol;Acc:HGNC:28387]	0.4253728	
DCLK3	doublecortin like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19005]	0.42536095	
OR4A16	olfactory receptor family 4 subfamily A member 16 [Source:HGNC Symbol;Acc:HGNC:15153]	0.4249743	
HAUS5	HAUS augmin like complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:29130]	0.42490998	
LHX1	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	0.42399064	
HTR3A	5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297]	0.4233185	
CPLX2	complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310]	0.42318884	
REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	0.42252916	
MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	0.42249796	
APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	0.42246377	
OR13C3	olfactory receptor family 13 subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:14704]	0.42215377	
BPIFB6	BPI fold containing family B member 6 [Source:HGNC Symbol;Acc:HGNC:16504]	0.42155245	
CCDC185	coiled-coil domain containing 185 [Source:HGNC Symbol;Acc:HGNC:26654]	0.4214087	
CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	0.42127678	
YIPF2	Yip1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28476]	0.4211383	
NOL6	nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]	0.4211346	
REXO1L11P	REXO1 like 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:44434]	0.42085126	
