initial_alias,converted_alias,name,description,namespace
4478,MSN,MSN,moesin [Source:HGNC Symbol;Acc:HGNC:7373],ENTREZGENE_ACC
218,ALDH3A1,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405],ENTREZGENE_ACC
51084,CRYL1,CRYL1,crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246],ENTREZGENE_ACC
9771,RAPGEF5,RAPGEF5,Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862],ENTREZGENE_ACC
678,ZFP36L2,ZFP36L2,ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108],ENTREZGENE_ACC
80781,COL18A1,COL18A1,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195],ENTREZGENE_ACC
10121,ACTR1A,ACTR1A,actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167],ENTREZGENE_ACC
10398,MYL9,MYL9,myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754],ENTREZGENE_ACC
11142,PKIG,PKIG,cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019],ENTREZGENE_ACC
4281,MID1,MID1,midline 1 [Source:HGNC Symbol;Acc:HGNC:7095],ENTREZGENE_ACC
9989,PPP4R1,PPP4R1,protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320],ENTREZGENE_ACC
160335,TMTC2,TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2 [Source:HGNC Symbol;Acc:HGNC:25440],ENTREZGENE_ACC
6396,SEC13,SEC13,"SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]",ENTREZGENE_ACC
25943,DNAAF9,DNAAF9,dynein axonemal assembly factor 9 [Source:HGNC Symbol;Acc:HGNC:17721],ENTREZGENE_ACC
84532,ACSS1,ACSS1,acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091],ENTREZGENE_ACC
7433,VIPR1,VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694],ENTREZGENE_ACC
83693,HSDL1,HSDL1,hydroxysteroid dehydrogenase like 1 [Source:HGNC Symbol;Acc:HGNC:16475],ENTREZGENE_ACC
223082,ZNRF2,ZNRF2,zinc and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:22316],ENTREZGENE_ACC
6320,CLEC11A,CLEC11A,C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576],ENTREZGENE_ACC
2444,FRK,FRK,fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955],ENTREZGENE_ACC
402055,SRRD,SRRD,SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910],ENTREZGENE_ACC
10615,SPAG5,SPAG5,sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452],ENTREZGENE_ACC
307,ANXA4,ANXA4,annexin A4 [Source:HGNC Symbol;Acc:HGNC:542],ENTREZGENE_ACC
88745,RRP36,RRP36,ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374],ENTREZGENE_ACC
65018,PINK1,PINK1,PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581],ENTREZGENE_ACC
79815,NIPAL2,NIPAL2,NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854],ENTREZGENE_ACC
10052,GJC1,GJC1,gap junction protein gamma 1 [Source:HGNC Symbol;Acc:HGNC:4280],ENTREZGENE_ACC
7074,TIAM1,TIAM1,TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805],ENTREZGENE_ACC
5198,PFAS,PFAS,phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863],ENTREZGENE_ACC
55707,NECAP2,NECAP2,NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528],ENTREZGENE_ACC
439921,MXRA7,MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541],ENTREZGENE_ACC
11182,SLC2A6,SLC2A6,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011],ENTREZGENE_ACC
219902,TLCD5,TLCD5,TLC domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28280],ENTREZGENE_ACC
22977,AKR7A3,AKR7A3,aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390],ENTREZGENE_ACC
10098,TSPAN5,TSPAN5,tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753],ENTREZGENE_ACC
1687,GSDME,GSDME,gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810],ENTREZGENE_ACC
8303,SNN,SNN,stannin [Source:HGNC Symbol;Acc:HGNC:11149],ENTREZGENE_ACC
11031,RAB31,RAB31,"RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]",ENTREZGENE_ACC
10948,STARD3,STARD3,StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579],ENTREZGENE_ACC
253827,MSRB3,MSRB3,methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375],ENTREZGENE_ACC
147007,TMEM199,TMEM199,transmembrane protein 199 [Source:HGNC Symbol;Acc:HGNC:18085],ENTREZGENE_ACC
84989,JMJD1C-AS1,JMJD1C-AS1,JMJD1C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28222],ENTREZGENE_ACC
25937,WWTR1,WWTR1,WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042],ENTREZGENE_ACC
440465,BAIAP2-DT,BAIAP2-DT,BAIAP2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:44342],ENTREZGENE_ACC
10979,FERMT2,FERMT2,FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767],ENTREZGENE_ACC
9770,RASSF2,RASSF2,Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883],ENTREZGENE_ACC
1140,CHRNB1,CHRNB1,cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961],ENTREZGENE_ACC
26958,COPG2,COPG2,COPI coat complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237],ENTREZGENE_ACC
64798,DEPTOR,DEPTOR,DEP domain containing MTOR interacting protein [Source:HGNC Symbol;Acc:HGNC:22953],ENTREZGENE_ACC
127602,DNAH14,DNAH14,dynein axonemal heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:2945],ENTREZGENE_ACC
54468,MIOS,MIOS,meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905],ENTREZGENE_ACC
89870,TRIM15,TRIM15,tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284],ENTREZGENE_ACC
84168,ANTXR1,ANTXR1,ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014],ENTREZGENE_ACC
7298,TYMS,TYMS,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441],ENTREZGENE_ACC
54885,TBC1D8B,TBC1D8B,TBC1 domain family member 8B [Source:HGNC Symbol;Acc:HGNC:24715],ENTREZGENE_ACC
3720,JARID2,JARID2,jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196],ENTREZGENE_ACC
79782,LRRC31,LRRC31,leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261],ENTREZGENE_ACC
23633,KPNA6,KPNA6,karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399],ENTREZGENE_ACC
1793,DOCK1,DOCK1,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987],ENTREZGENE_ACC
7693,ZNF134,ZNF134,zinc finger protein 134 [Source:HGNC Symbol;Acc:HGNC:12918],ENTREZGENE_ACC
1175,AP2S1,AP2S1,adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565],ENTREZGENE_ACC
3344,FOXN2,FOXN2,forkhead box N2 [Source:HGNC Symbol;Acc:HGNC:5281],ENTREZGENE_ACC
28982,FLVCR1,FLVCR1,FLVCR heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682],ENTREZGENE_ACC
3669,ISG20,ISG20,interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130],ENTREZGENE_ACC
23625,FAM89B,FAM89B,family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708],ENTREZGENE_ACC
55653,BCAS4,BCAS4,breast carcinoma amplified sequence 4 [Source:HGNC Symbol;Acc:HGNC:14367],ENTREZGENE_ACC
10486,CAP2,CAP2,cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039],ENTREZGENE_ACC
51251,NT5C3A,NT5C3A,"5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]",ENTREZGENE_ACC
2275,FHL3,FHL3,four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704],ENTREZGENE_ACC
10296,MAEA,MAEA,"macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]",ENTREZGENE_ACC
871,SERPINH1,SERPINH1,serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546],ENTREZGENE_ACC
6397,SEC14L1,SEC14L1,SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698],ENTREZGENE_ACC
84501,SPIRE2,SPIRE2,spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623],ENTREZGENE_ACC
157638,LRATD2,LRATD2,LRAT domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24166],ENTREZGENE_ACC
204801,NLRP11,NLRP11,NLR family pyrin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:22945],ENTREZGENE_ACC
100,ADA,ADA,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],ENTREZGENE_ACC
894,CCND2,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583],ENTREZGENE_ACC
9962,SLC23A2,SLC23A2,solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973],ENTREZGENE_ACC
348654,GEN1,GEN1,GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881],ENTREZGENE_ACC
116841,SNAP47,SNAP47,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669],ENTREZGENE_ACC
53335,BCL11A,BCL11A,BCL11 transcription factor A [Source:HGNC Symbol;Acc:HGNC:13221],ENTREZGENE_ACC
55904,KMT2E,KMT2E,lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541],ENTREZGENE_ACC
92105,INTS4,INTS4,integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048],ENTREZGENE_ACC
79983,POF1B,POF1B,POF1B actin binding protein [Source:HGNC Symbol;Acc:HGNC:13711],ENTREZGENE_ACC
50515,CHST11,CHST11,carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422],ENTREZGENE_ACC
79156,PLEKHF1,PLEKHF1,pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764],ENTREZGENE_ACC
4603,MYBL1,MYBL1,MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547],ENTREZGENE_ACC
119710,IFTAP,IFTAP,intraflagellar transport associated protein [Source:HGNC Symbol;Acc:HGNC:25142],ENTREZGENE_ACC
80208,SPG11,SPG11,"SPG11 vesicle trafficking associated, spatacsin [Source:HGNC Symbol;Acc:HGNC:11226]",ENTREZGENE_ACC
1462,VCAN,VCAN,versican [Source:HGNC Symbol;Acc:HGNC:2464],ENTREZGENE_ACC
57224,NHSL1,NHSL1,NHS like 1 [Source:HGNC Symbol;Acc:HGNC:21021],ENTREZGENE_ACC
153642,ARSK,ARSK,arylsulfatase family member K [Source:HGNC Symbol;Acc:HGNC:25239],ENTREZGENE_ACC
5705,PSMC5,PSMC5,"proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]",ENTREZGENE_ACC
10006,ABI1,ABI1,abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320],ENTREZGENE_ACC
3248,HPGD,HPGD,15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154],ENTREZGENE_ACC
10311,VPS26C,VPS26C,VPS26 endosomal protein sorting factor C [Source:HGNC Symbol;Acc:HGNC:3044],ENTREZGENE_ACC
135,ADORA2A,ADORA2A,adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263],ENTREZGENE_ACC
27350,APOBEC3C,APOBEC3C,apolipoprotein B mRNA editing enzyme catalytic subunit 3C [Source:HGNC Symbol;Acc:HGNC:17353],ENTREZGENE_ACC
57221,ARFGEF3,ARFGEF3,ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213],ENTREZGENE_ACC
3174,HNF4G,HNF4G,hepatocyte nuclear factor 4 gamma [Source:HGNC Symbol;Acc:HGNC:5026],ENTREZGENE_ACC
121512,FGD4,FGD4,"FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]",ENTREZGENE_ACC
9454,HOMER3,HOMER3,homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514],ENTREZGENE_ACC
11112,HIBADH,HIBADH,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907],ENTREZGENE_ACC
8692,HYAL2,HYAL2,hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321],ENTREZGENE_ACC
10112,KIF20A,KIF20A,kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787],ENTREZGENE_ACC
56952,PRTFDC1,PRTFDC1,phosphoribosyl transferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23333],ENTREZGENE_ACC
3992,FADS1,FADS1,fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574],ENTREZGENE_ACC
2706,GJB2,GJB2,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],ENTREZGENE_ACC
84547,PGBD1,PGBD1,piggyBac transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:19398],ENTREZGENE_ACC
51012,PRELID3B,PRELID3B,PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892],ENTREZGENE_ACC
399474,TMEM200B,TMEM200B,transmembrane protein 200B [Source:HGNC Symbol;Acc:HGNC:33785],ENTREZGENE_ACC
123920,CMTM3,CMTM3,CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174],ENTREZGENE_ACC
10867,TSPAN9,TSPAN9,tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640],ENTREZGENE_ACC
10482,NXF1,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071],ENTREZGENE_ACC
4836,NMT1,NMT1,N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857],ENTREZGENE_ACC
55352,COPRS,COPRS,coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848],ENTREZGENE_ACC
51177,PLEKHO1,PLEKHO1,pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310],ENTREZGENE_ACC
200942,KLHDC8B,KLHDC8B,kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557],ENTREZGENE_ACC
9590,AKAP12,AKAP12,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370],ENTREZGENE_ACC
57617,VPS18,VPS18,VPS18 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:15972],ENTREZGENE_ACC
6509,SLC1A4,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942],ENTREZGENE_ACC
123036,TC2N,TC2N,"tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]",ENTREZGENE_ACC
79415,CYBC1,CYBC1,cytochrome b-245 chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28672],ENTREZGENE_ACC
64968,MRPS6,MRPS6,mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051],ENTREZGENE_ACC
80007,C10orf88,C10orf88,chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822],ENTREZGENE_ACC
90874,ZNF697,ZNF697,zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034],ENTREZGENE_ACC
26751,SH3YL1,SH3YL1,SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546],ENTREZGENE_ACC
3301,DNAJA1,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229],ENTREZGENE_ACC
860,RUNX2,RUNX2,RUNX family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472],ENTREZGENE_ACC
11179,ZNF277,ZNF277,zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070],ENTREZGENE_ACC
54938,SARS2,SARS2,"seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]",ENTREZGENE_ACC
55784,MCTP2,MCTP2,multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636],ENTREZGENE_ACC
84524,ZC3H8,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941],ENTREZGENE_ACC
23399,CTDNEP1,CTDNEP1,CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085],ENTREZGENE_ACC
8455,ATRN,ATRN,attractin [Source:HGNC Symbol;Acc:HGNC:885],ENTREZGENE_ACC
286343,LURAP1L,LURAP1L,leucine rich adaptor protein 1 like [Source:HGNC Symbol;Acc:HGNC:31452],ENTREZGENE_ACC
1536,CYBB,CYBB,cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578],ENTREZGENE_ACC
10551,AGR2,AGR2,"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]",ENTREZGENE_ACC
54812,AFTPH,AFTPH,aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951],ENTREZGENE_ACC
54532,USP53,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255],ENTREZGENE_ACC
4802,NFYC,NFYC,nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806],ENTREZGENE_ACC
2975,GTF3C1,GTF3C1,general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664],ENTREZGENE_ACC
57020,VPS35L,VPS35L,VPS35 endosomal protein sorting factor like [Source:HGNC Symbol;Acc:HGNC:24641],ENTREZGENE_ACC
55160,ARHGEF10L,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540],ENTREZGENE_ACC
23443,SLC35A3,SLC35A3,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023],ENTREZGENE_ACC
9145,SYNGR1,SYNGR1,synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498],ENTREZGENE_ACC
5797,PTPRM,PTPRM,protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675],ENTREZGENE_ACC
64219,PJA1,PJA1,praja ring finger ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:16648],ENTREZGENE_ACC
26284,ERAL1,ERAL1,Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424],ENTREZGENE_ACC
9448,MAP4K4,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866],ENTREZGENE_ACC
4640,MYO1A,MYO1A,myosin IA [Source:HGNC Symbol;Acc:HGNC:7595],ENTREZGENE_ACC
122786,FRMD6,FRMD6,FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839],ENTREZGENE_ACC
84419,C15orf48,C15orf48,chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898],ENTREZGENE_ACC
115572,TENT5B,TENT5B,terminal nucleotidyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:28273],ENTREZGENE_ACC
7389,UROD,UROD,uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591],ENTREZGENE_ACC
79017,GGCT,GGCT,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705],ENTREZGENE_ACC
79805,VASH2,VASH2,vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723],ENTREZGENE_ACC
79823,CAMKMT,CAMKMT,calmodulin-lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:26276],ENTREZGENE_ACC
26232,FBXO2,FBXO2,F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581],ENTREZGENE_ACC
1052,CEBPD,CEBPD,CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835],ENTREZGENE_ACC
149420,PDIK1L,PDIK1L,PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981],ENTREZGENE_ACC
79607,FAM118B,FAM118B,family with sequence similarity 118 member B [Source:HGNC Symbol;Acc:HGNC:26110],ENTREZGENE_ACC
5188,GATB,GATB,glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849],ENTREZGENE_ACC
7538,ZFP36,ZFP36,ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862],ENTREZGENE_ACC
84993,UBL7,UBL7,ubiquitin like 7 [Source:HGNC Symbol;Acc:HGNC:28221],ENTREZGENE_ACC
54842,MFSD6,MFSD6,major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711],ENTREZGENE_ACC
54482,TRMT13,TRMT13,tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502],ENTREZGENE_ACC
3956,LGALS1,LGALS1,galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561],ENTREZGENE_ACC
1027,CDKN1B,CDKN1B,cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785],ENTREZGENE_ACC
145567,TTC7B,TTC7B,tetratricopeptide repeat domain 7B [Source:HGNC Symbol;Acc:HGNC:19858],ENTREZGENE_ACC
1308,COL17A1,COL17A1,collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194],ENTREZGENE_ACC
1595,CYP51A1,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],ENTREZGENE_ACC
359845,RFLNB,RFLNB,refilin B [Source:HGNC Symbol;Acc:HGNC:28705],ENTREZGENE_ACC
57579,FAM135A,FAM135A,family with sequence similarity 135 member A [Source:HGNC Symbol;Acc:HGNC:21084],ENTREZGENE_ACC
400793,C1orf226,C1orf226,chromosome 1 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34351],ENTREZGENE_ACC
10110,SGK2,SGK2,serum/glucocorticoid regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900],ENTREZGENE_ACC
2787,GNG5,GNG5,G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408],ENTREZGENE_ACC
5871,MAP4K2,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6864],ENTREZGENE_ACC
25978,CHMP2B,CHMP2B,charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537],ENTREZGENE_ACC
10050,SLC17A4,SLC17A4,solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932],ENTREZGENE_ACC
216,ALDH1A1,ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402],ENTREZGENE_ACC
1999,ELF3,ELF3,E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318],ENTREZGENE_ACC
117246,FTSJ3,FTSJ3,FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136],ENTREZGENE_ACC
54149,C21orf91,C21orf91,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459],ENTREZGENE_ACC
79659,DYNC2H1,DYNC2H1,dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962],ENTREZGENE_ACC
